Civic Offices Main Gas Meter,,m^3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Values,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
8/5/11,96,3,0,2,2,0,2,2,0,4,2,0,2,2,0,3,3,0,2,2,1,1,2,3,1,2,1,1,2,2,2,2,0,2,2,0,3,3,0,2,1,1,2,1,1,4,0,2,2,0,2,1,1,4,0,2,2,0,2,2,0,3,0,3,2,0,2,2,0,3,0,3,2,0,2,2,0,4,2,0,2,1,1,3,1,2,2,0,2,2,0,4,1,1,2,2,0
9/5/11,96,3,3,0,2,2,0,2,4,0,2,2,0,2,3,1,2,12,55,25,17,9,11,8,5,11,10,40,32,19,21,16,18,14,14,13,11,12,11,12,12,8,9,10,10,8,11,8,9,12,10,10,9,9,7,7,9,10,6,9,7,9,8,7,9,5,6,5,2,6,3,2,3,2,2,4,3,3,2,2,0,3,2,0,3,1,1,3,2,0,2,2,0,3,2,1,2
10/5/11,96,0,2,2,1,3,2,0,2,2,0,3,2,0,3,2,0,2,3,0,2,2,0,3,3,0,24,47,36,19,16,17,20,12,11,13,8,11,11,9,9,10,11,11,11,5,9,10,8,8,9,9,9,8,8,8,5,9,9,9,5,9,9,5,8,8,3,8,3,2,3,3,4,2,3,2,5,11,0,4,0,2,0,2,2,2,1,3,2,0,0,0,0,0,0,0,0
11/5/11,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,30,31,25,20,18,17,17,16,12,12,14,12,10,18,18,16,11,11,10,6,9,10,11,8,10,9,6,10,12,14,7,9,8,7,9,8,8,8,5,6,9,12,6,2,2,4,3,2,3,2,5,0,2,0,3,3,0,2,2,1,2,3,1,1,3,1,1,3,2,0
12/5/11,96,3,2,0,3,2,0,2,3,0,3,2,1,1,4,2,0,2,2,0,2,4,1,1,2,4,20,54,40,22,18,18,18,13,12,15,16,13,14,14,13,10,12,10,9,15,13,9,8,8,9,10,9,10,9,2,7,5,3,5,3,6,13,5,5,6,4,4,2,3,2,3,2,2,2,4,3,2,2,0,4,2,0,2,2,0,3,3,0,2,2,0,3,2,0,3,2
13/05/2011,96,2,1,2,2,0,3,3,1,1,2,2,0,4,2,0,2,3,2,0,3,2,0,3,24,38,18,18,19,14,11,12,10,10,9,7,8,12,11,3,7,5,7,3,9,5,20,21,7,7,3,7,7,4,3,6,14,4,5,3,5,14,14,6,4,8,3,6,3,4,4,2,2,3,3,2,2,5,5,0,2,3,0,2,3,0,3,2,1,1,2,4,0,2,2,2,0
14/05/2011,96,4,2,0,2,2,3,0,3,2,0,3,2,3,0,2,3,0,3,2,3,0,2,3,0,3,2,2,0,2,4,1,1,2,1,1,4,2,0,2,3,0,3,2,0,2,3,0,3,2,2,0,3,2,0,3,3,2,0,2,3,3,0,2,2,0,2,4,0,2,2,1,1,4,2,0,2,2,3,0,3,2,0,3,2,2,0,2,4,1,1,2,3,2,0,3,2
15/05/2011,96,3,0,2,2,4,1,1,2,2,3,1,2,2,3,1,1,2,2,4,0,2,2,3,0,3,2,3,0,2,3,3,1,1,2,2,1,3,2,2,0,2,3,1,2,2,3,0,2,2,2,1,3,2,0,2,2,0,4,2,2,0,2,4,0,0,2,0,2,0,0,2,0,0,3,0,0,2,0,1,1,0,2,0,0,4,0,1,1,0,2,0,0,2,0,0,3
16/05/2011,96,0,2,0,0,2,0,0,2,0,0,4,0,0,2,9,54,24,17,10,12,8,9,11,11,10,12,39,40,26,22,21,20,nan,17,16,20,16,14,14,14,12,15,13,9,12,12,10,14,11,7,13,10,8,10,8,9,9,7,6,8,9,9,13,7,7,9,4,5,4,4,3,6,3,6,2,7,5,2,3,0,0,0,3,0,0,2,0,0,2,0,0,3,0,0,2,0
17/05/2011,96,0,2,0,0,2,0,0,1,2,0,0,2,0,1,2,0,0,2,0,0,3,0,18,32,16,11,35,29,19,17,20,13,11,15,12,12,12,9,14,11,11,11,12,6,10,13,8,10,7,9,11,10,8,5,9,9,5,6,9,8,9,6,6,9,6,3,6,6,2,3,3,2,2,2,3,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0
18/05/2011,96,2,0,0,1,2,0,0,2,0,0,1,2,0,1,1,0,1,1,0,1,1,0,2,26,34,19,41,26,23,17,19,17,20,16,15,14,17,12,9,12,11,8,6,8,8,9,7,11,12,9,9,9,11,18,16,13,7,9,8,9,9,6,11,11,11,8,3,6,5,4,6,2,3,4,3,4,5,1,0,2,0,2,3,0,3,2,0,2,2,1,3,2,2,0,2,2
19/05/2011,96,2,2,2,2,0,3,3,2,0,2,3,2,0,3,3,2,0,2,3,3,2,1,25,34,21,16,40,31,20,22,19,18,18,20,14,15,12,11,12,14,10,15,11,12,10,9,12,11,10,11,15,10,9,12,5,4,6,6,4,5,6,3,6,6,3,6,3,4,6,2,6,5,2,11,8,6,4,0,2,1,3,2,0,2,2,1,3,2,0,2,3,0,3,2,0,2
20/05/2011,96,3,0,3,2,0,2,2,1,3,2,0,2,3,2,1,2,2,0,2,4,0,2,9,43,21,19,18,15,16,12,11,9,10,9,9,14,20,9,6,15,10,6,7,9,6,7,9,9,8,7,8,9,3,6,9,3,6,5,3,6,5,4,6,3,6,3,3,4,2,3,3,4,3,2,4,4,2,2,0,2,4,0,2,2,0,2,4,0,2,2,0,2,2,0,4,2
21/05/2011,96,0,2,2,3,1,2,2,0,3,3,0,2,2,3,0,2,3,0,2,3,1,1,3,2,0,3,2,0,3,2,0,3,2,0,3,2,0,3,2,1,2,19,38,19,8,5,7,9,3,2,3,1,2,2,0,2,2,0,4,2,0,2,2,0,4,2,0,2,3,0,2,3,0,2,3,0,2,2,3,0,3,2,0,2,4,2,0,2,3,0,3,2,2,0,3,2
22/05/2011,96,0,3,2,2,1,2,3,0,3,2,2,0,4,2,0,2,2,4,0,2,2,1,1,4,2,0,2,3,2,1,2,2,0,3,3,0,2,2,3,0,3,2,1,1,3,0,3,2,2,0,3,2,0,3,2,0,3,2,0,3,2,0,3,2,0,3,2,0,3,2,0,3,2,0,3,2,0,3,2,0,3,2,0,3,2,0,3,2,0,2,3,1,2,2,2,0
23/05/2011,96,3,3,2,0,2,3,1,2,2,2,0,3,2,3,0,52,27,19,8,9,13,9,6,15,12,12,41,35,22,20,22,24,25,25,22,20,21,16,20,18,12,15,14,12,17,16,13,13,14,12,12,14,15,11,14,11,14,17,10,13,11,11,12,15,10,9,17,5,4,5,3,9,3,8,6,5,4,5,4,2,0,2,2,4,0,2,2,2,1,3,2,2,0,2,4,1
24/05/2011,96,1,2,4,0,2,2,2,0,3,3,2,0,3,2,1,2,2,3,0,2,3,31,29,17,21,10,37,38,23,20,21,23,18,15,19,19,19,13,13,13,13,11,20,19,12,13,9,12,13,10,13,9,10,12,10,12,9,8,12,10,10,11,8,11,10,4,8,2,5,4,4,4,3,2,6,2,6,0,3,2,1,3,2,0,2,2,0,4,2,0,2,2,1,2,3,2
25/05/2011,96,0,2,3,0,2,3,1,2,2,2,0,3,3,0,2,2,2,0,4,2,0,2,15,36,17,12,37,29,22,20,17,19,20,15,12,12,11,14,12,11,14,14,15,13,12,12,13,13,12,14,11,11,13,12,12,9,11,12,13,11,11,11,13,10,10,8,6,5,3,5,3,3,5,8,4,6,5,3,3,0,2,3,0,2,2,2,1,3,2,0,2,3,1,2,2,1
